paper_ID,device
2018/Atzmon et al. - 2018 - Point convolutional neural networks by extension operators,NVIDIA Tesla P100 PCIe 12 GB
2018/Belcour - 2018 - Efficient rendering of layered materials using an atomic decomposition with statistical operators,NVIDIA GeForce GTX 980
2018/Cirio et al. - 2018 - Multi-scale simulation of nonlinear thin-shell sound with wave turbulence,NVIDIA GeForce GTX 970
2018/Deschaintre et al. - 2018 - Single-image SVBRDF capture with a rendering-aware deep network,NVIDIA GeForce GTX TITAN X
2018/Dvoroz╠îna╠ük et al. - 2018 - Toonsynth example-based synthesis of hand-colored cartoon animations,NVIDIA GeForce GTX 750 Ti
2018/Farchi and Ben-Chen - 2018 - Integer-only cross field computation,NVIDIA GeForce GTX 1080 Ti
2018/Feng et al. - 2018 - Curved optimal delaunay triangulation,NVIDIA GeForce GTX 1060 5 GB
2018/Han et al. - 2018 - Online optical marker-based hand tracking with deep labels,NVIDIA Tesla M40
2018/Han et al. - 2018 - Online optical marker-based hand tracking with deep labels,NVIDIA GeForce GTX 1080 Ti
2018/He et al. - 2018 - Deep exemplar-based colorization,NVIDIA TITAN Xp
2018/He et al. - 2018 - Slang language mechanisms for extensible real-time shading systems,NVIDIA TITAN V
2018/Hedman and Kopf - 2018 - Instant 3D photography,NVIDIA GeForce GTX TITAN X
2018/Hedman and Kopf - 2018 - Instant 3D photography,NVIDIA GeForce GTX 1060 5 GB
2018/Holden - 2018 - Robust solving of optical motion capture data by denoising,NVIDIA GeForce GTX 970
2018/Jeschke et al. - 2018 - Water surface wavelets,NVIDIA GeForce GTX 1070
2018/Kang et al. - 2018 - Efficient reflectance capture using an autoencoder,NVIDIA GeForce GTX 1080 Ti
2018/Kenzel et al. - 2018 - A high-performance software graphics pipeline architecture for the GPU,NVIDIA GeForce GTX 1080
2018/Kenzel et al. - 2018 - A high-performance software graphics pipeline architecture for the GPU,NVIDIA GeForce GTX 1080 Ti
2018/Kenzel et al. - 2018 - A high-performance software graphics pipeline architecture for the GPU,NVIDIA GeForce GTX 980 Ti
2018/Kim and Park - 2018 - Deep context-aware descreening and rescreening of halftone images,NVIDIA GeForce GTX 1080 Ti
2018/Kim et al. - 2018 - Deep video portraits,NVIDIA TITAN Xp
2018/Kim et al. - 2018 - Magnetization dynamics for magnetic object interactions,NVIDIA GeForce GTX 780
2018/Langbehn et al. - 2018 - In the blink of an eye leveraging blink-induced suppression for imperceptible position and orientat,NVIDIA GeForce GTX 980 Ti
2018/Langbehn et al. - 2018 - In the blink of an eye leveraging blink-induced suppression for imperceptible position and orientat,NVIDIA GeForce GTX 980
2018/Leimku╠êhler et al. - 2018 - Laplacian kernel splatting for efficient depth-of-field and motion blur synthesis or reconstruction,NVIDIA GeForce GTX 980 Ti
2018/Li et al. - 2018 - Differentiable programming for image processing and deep learning in halide,NVIDIA TITAN Xp
2018/Li et al. - 2018 - Differentiable programming for image processing and deep learning in halide,NVIDIA TITAN X Pascal
2018/Lin et al. - 2018 - Scale-aware black-and-white abstraction of 3D shapes,NVIDIA GeForce GTX 1070
2018/Lindell et al. - 2018 - Single-photon 3D imaging with deep sensor fusion,NVIDIA GeForce GTX TITAN X
2018/Liu et al. - 2018 - Object-aware guidance for autonomous scene reconstruction,NVIDIA GeForce GTX 1080
2018/Lombardi et al. - 2018 - Deep appearance models for face rendering,NVIDIA GeForce GTX 1080
2018/Lombardi et al. - 2018 - Deep appearance models for face rendering,NVIDIA Tesla M40
