labeled gpu,aggregate gpu
Intel Iris Plus Graphics 655 Mobile,Intel Iris Plus Graphics 655 Mobile
NVIDIA A10 PCIe,NVIDIA A10 PCIe
NVIDIA A100 PCIe 40 GB,NVIDIA A100 PCIe 40 GB
NVIDIA A100X,NVIDIA A100X
NVIDIA A10G,NVIDIA A10G
NVIDIA A40 PCIe,NVIDIA A40 PCIe
NVIDIA A800 PCIe 40 GB,NVIDIA A800 PCIe 40 GB
NVIDIA GeForce GT 555M 3 GB,NVIDIA GeForce GT 555M 3 GB
NVIDIA GeForce GT 720M,NVIDIA GeForce GT 720M
NVIDIA GeForce GT 750M,NVIDIA GeForce GT 750M
NVIDIA GeForce GTX 1050,NVIDIA GeForce GTX 1050
NVIDIA GeForce GTX 1050 Ti,NVIDIA GeForce GTX 1050 Ti
NVIDIA GeForce GTX 1060 5 GB,NVIDIA GeForce GTX 1060 5 GB
NVIDIA GeForce GTX 1060 6 GB,NVIDIA GeForce GTX 1060 5 GB
NVIDIA GeForce GTX 1070,NVIDIA GeForce GTX 1070
NVIDIA GeForce GTX 1070 Ti,NVIDIA GeForce GTX 1070 Ti
NVIDIA GeForce GTX 1080,NVIDIA GeForce GTX 1080
NVIDIA GeForce GTX 1080 Max-Q,NVIDIA GeForce GTX 1080 Max-Q
NVIDIA GeForce GTX 1080 Ti,NVIDIA GeForce GTX 1080 Ti
NVIDIA GeForce GTX 1650,NVIDIA GeForce GTX 1650
NVIDIA GeForce GTX 1650 Ti Mobile,NVIDIA GeForce GTX 1650 Ti Mobile
NVIDIA GeForce GTX 1660,NVIDIA GeForce GTX 1660
NVIDIA GeForce GTX 1660 Ti,NVIDIA GeForce GTX 1660 Ti
NVIDIA GeForce GTX 745 OEM,NVIDIA GeForce GTX 745 OEM
NVIDIA GeForce GTX 750 Ti,NVIDIA GeForce GTX 750 Ti
NVIDIA GeForce GTX 780,NVIDIA GeForce GTX 780
NVIDIA GeForce GTX 970,NVIDIA GeForce GTX 970
NVIDIA GeForce GTX 980,NVIDIA GeForce GTX 980
NVIDIA GeForce GTX 980 Ti,NVIDIA GeForce GTX 980 Ti
NVIDIA GeForce GTX TITAN,NVIDIA GeForce GTX TITAN
NVIDIA GeForce GTX TITAN X,NVIDIA GeForce GTX TITAN X
NVIDIA GeForce RTX 2060,NVIDIA GeForce RTX 2060
NVIDIA GeForce RTX 2070,NVIDIA GeForce RTX 2070
NVIDIA GeForce RTX 2070 SUPER,NVIDIA GeForce RTX 2070 SUPER
NVIDIA GeForce RTX 2080,NVIDIA GeForce RTX 2080
NVIDIA GeForce RTX 2080 Max-Q,NVIDIA GeForce RTX 2080 Max-Q
NVIDIA GeForce RTX 2080 SUPER,NVIDIA GeForce RTX 2080 SUPER
NVIDIA GeForce RTX 2080 Ti,NVIDIA GeForce RTX 2080 Ti
NVIDIA GeForce RTX 2080 Ti 12 GB,NVIDIA GeForce RTX 2080 Ti
NVIDIA GeForce RTX 3050 Ti Mobile,NVIDIA GeForce RTX 3050 Ti Mobile
NVIDIA GeForce RTX 3060 Mobile,NVIDIA GeForce RTX 3060 Mobile
NVIDIA GeForce RTX 3070,NVIDIA GeForce RTX 3070
NVIDIA GeForce RTX 3080,NVIDIA GeForce RTX 3080
NVIDIA GeForce RTX 3080 Ti,NVIDIA GeForce RTX 3080 Ti
NVIDIA GeForce RTX 3090,NVIDIA GeForce RTX 3090
NVIDIA GeForce RTX 3090 Ti,NVIDIA GeForce RTX 3090 Ti
NVIDIA GeForce RTX 4080,NVIDIA GeForce RTX 4080
NVIDIA GeForce RTX 4090,NVIDIA GeForce RTX 4090
NVIDIA Quadro GP100,NVIDIA Quadro GP100
NVIDIA Quadro K5200,NVIDIA Quadro K5200
NVIDIA Quadro K6000,NVIDIA Quadro K6000
NVIDIA Quadro M2000,NVIDIA Quadro M2000
NVIDIA Quadro P5000,NVIDIA Quadro P5000
NVIDIA Quadro P6000,NVIDIA Quadro P6000
NVIDIA Quadro RTX 5000,NVIDIA Quadro RTX 5000
NVIDIA Quadro RTX 6000,NVIDIA Quadro RTX 6000
NVIDIA Quadro RTX 8000,NVIDIA Quadro RTX 8000
NVIDIA RTX 6000 Ada Generation,NVIDIA RTX 6000 Ada Generation
NVIDIA RTX A2000,NVIDIA RTX A2000
NVIDIA RTX A500,NVIDIA RTX A500
NVIDIA RTX A5000,NVIDIA RTX A5000
NVIDIA RTX A6000,NVIDIA RTX A6000
NVIDIA T400,NVIDIA T400
NVIDIA TITAN RTX,NVIDIA TITAN RTX
NVIDIA TITAN V,NVIDIA TITAN V
NVIDIA TITAN X Pascal,NVIDIA TITAN X Pascal
NVIDIA TITAN Xp,NVIDIA TITAN Xp
NVIDIA Tesla K40c,NVIDIA Tesla K40c
NVIDIA Tesla K80,NVIDIA Tesla K80
NVIDIA Tesla M40,NVIDIA Tesla M40
NVIDIA Tesla P100 DGXS,NVIDIA Tesla P100 PCIe 12 GB
NVIDIA Tesla P100 PCIe 12 GB,NVIDIA Tesla P100 PCIe 12 GB
NVIDIA Tesla P100 PCIe 16 GB,NVIDIA Tesla P100 PCIe 12 GB
NVIDIA Tesla P100 SXM2,NVIDIA Tesla P100 PCIe 12 GB
NVIDIA Tesla P40,NVIDIA Tesla P40
NVIDIA Tesla V100 PCIe 16 GB,NVIDIA Tesla V100 PCIe 16 GB
NVIDIA Tesla V100 PCIe 32 GB,NVIDIA Tesla V100 PCIe 16 GB
NVIDIA Tesla V100 SXM2 16 GB,NVIDIA Tesla V100 PCIe 16 GB
NVIDIA Tesla V100 SXM3 32 GB,NVIDIA Tesla V100 PCIe 16 GB
NVIDIA Tesla V100S PCIe 32 GB,NVIDIA Tesla V100S PCIe 32 GB
