Name;URL;Codename;Cores;Clock;Socket;Process;L3 Cache;TDP;Released;Vendor
Core Ultra 5 225;/cpu-specs/core-ultra-5-225.c3783;Arrow Lake-S;10 ;3.3 to 4.9 GHz;Socket 1851;3 nm;21 MB;65 W;Jan 2025;Intel
Core Ultra 5 225F;/cpu-specs/core-ultra-5-225f.c3784;Arrow Lake-S;10 ;3.3 to 4.9 GHz;Socket 1851;3 nm;21 MB;65 W;Jan 2025;Intel
Core Ultra 7 265;/cpu-specs/core-ultra-7-265.c3777;Arrow Lake-S;20 ;2.4 to 5.3 GHz;Socket 1851;3 nm;30 MB;65 W;Jan 2025;Intel
Core Ultra 7 265F;/cpu-specs/core-ultra-7-265f.c3779;Arrow Lake-S;20 ;2.4 to 5.3 GHz;Socket 1851;3 nm;30 MB;65 W;Jan 2025;Intel
Core Ultra 7 265T;/cpu-specs/core-ultra-7-265t.c3780;Arrow Lake-S;20 ;1.5 to 5.3 GHz;Socket 1851;3 nm;30 MB;35 W;Jan 2025;Intel
Core Ultra 9 285;/cpu-specs/core-ultra-9-285.c3774;Arrow Lake-S;24 ;2.5 to 5.6 GHz;Socket 1851;3 nm;36 MB;125 W;Jan 2025;Intel
Core Ultra 9 285T;/cpu-specs/core-ultra-9-285t.c3775;Arrow Lake-S;24 ;1.4 to 5.4 GHz;Socket 1851;3 nm;36 MB;35 W;Jan 2025;Intel
EPYC 4124P;/cpu-specs/epyc-4124p.c3610;Raphael;4  / 8;3.8 to 5.1 GHz;Socket AM5;5 nm;32 MB;65 W;May 21st, 2024;AMD
EPYC 4244P;/cpu-specs/epyc-4244p.c3609;Raphael;6  / 12;3.8 to 5.1 GHz;Socket AM5;5 nm;32 MB;65 W;May 21st, 2024;AMD
EPYC 4344P;/cpu-specs/epyc-4344p.c3608;Raphael;8  / 16;3.8 to 5.3 GHz;Socket AM5;5 nm;32 MB;65 W;May 21st, 2024;AMD
EPYC 4364P;/cpu-specs/epyc-4364p.c3611;Raphael;8  / 16;4.5 to 5.4 GHz;Socket AM5;5 nm;32 MB;105 W;May 21st, 2024;AMD
EPYC 4464P;/cpu-specs/epyc-4464p.c3612;Raphael;12  / 24;3.7 to 5.4 GHz;Socket AM5;5 nm;32 MB;105 W;May 21st, 2024;AMD
EPYC 4484PX;/cpu-specs/epyc-4484px.c3606;Raphael;12  / 24;4.4 to 5.6 GHz;Socket AM5;5 nm;128 MB;120 W;May 21st, 2024;AMD
EPYC 4564P;/cpu-specs/epyc-4564p.c3613;Raphael;16  / 32;4.5 to 5.7 GHz;Socket AM5;5 nm;64 MB;170 W;May 21st, 2024;AMD
EPYC 4584PX;/cpu-specs/epyc-4584px.c3607;Raphael;16  / 32;4.2 to 5.7 GHz;Socket AM5;5 nm;128 MB;120 W;May 21st, 2024;AMD
EPYC 9015;/cpu-specs/epyc-9015.c3903;Turin;8  / 16;3.6 to 4.1 GHz;Socket SP5;4 nm;64 MB;125 W;Oct 10th, 2024;AMD
EPYC 9115;/cpu-specs/epyc-9115.c3902;Turin;16  / 32;2.6 to 4.1 GHz;Socket SP5;4 nm;64 MB;125 W;Oct 10th, 2024;AMD
EPYC 9135;/cpu-specs/epyc-9135.c3901;Turin;16  / 32;3.65 to 4.3 GHz;Socket SP5;4 nm;64 MB;200 W;Oct 10th, 2024;AMD
EPYC 9175F;/cpu-specs/epyc-9175f.c3900;Turin;16  / 32;4.2 to 5 GHz;Socket SP5;4 nm;512 MB;320 W;Oct 10th, 2024;AMD
EPYC 9255;/cpu-specs/epyc-9255.c3899;Turin;24  / 48;3.25 to 4.8 GHz;Socket SP5;4 nm;128 MB;200 W;Oct 10th, 2024;AMD
EPYC 9275F;/cpu-specs/epyc-9275f.c3898;Turin;24  / 48;4.1 to 4.8 GHz;Socket SP5;4 nm;256 MB;320 W;Oct 10th, 2024;AMD
EPYC 9335;/cpu-specs/epyc-9335.c3897;Turin;32  / 64;3 to 4.4 GHz;Socket SP5;4 nm;128 MB;210 W;Oct 10th, 2024;AMD
EPYC 9355;/cpu-specs/epyc-9355.c3895;Turin;32  / 64;3.55 to 4.4 GHz;Socket SP5;4 nm;256 MB;280 W;Oct 10th, 2024;AMD
EPYC 9355P;/cpu-specs/epyc-9355p.c3896;Turin;32  / 64;3.55 to 4.4 GHz;Socket SP5;4 nm;256 MB;280 W;Oct 10th, 2024;AMD
EPYC 9365;/cpu-specs/epyc-9365.c3893;Turin;36  / 72;3.4 to 4.3 GHz;Socket SP5;4 nm;192 MB;300 W;Oct 10th, 2024;AMD
EPYC 9375F;/cpu-specs/epyc-9375f.c3894;Turin;32  / 64;3.85 to 4.8 GHz;Socket SP5;4 nm;256 MB;320 W;Oct 10th, 2024;AMD
EPYC 9455;/cpu-specs/epyc-9455.c3890;Turin;48  / 96;3.15 to 4.4 GHz;Socket SP5;4 nm;256 MB;300 W;Oct 10th, 2024;AMD
EPYC 9455P;/cpu-specs/epyc-9455p.c3892;Turin;48  / 96;3.15 to 4.4 GHz;Socket SP5;4 nm;256 MB;300 W;Oct 10th, 2024;AMD
EPYC 9475F;/cpu-specs/epyc-9475f.c3889;Turin;48  / 96;3.65 to 4.8 GHz;Socket SP5;4 nm;256 MB;400 W;Oct 10th, 2024;AMD
EPYC 9535;/cpu-specs/epyc-9535.c3888;Turin;64  / 128;2.4 to 4.3 GHz;Socket SP5;4 nm;256 MB;300 W;Oct 10th, 2024;AMD
EPYC 9555;/cpu-specs/epyc-9555.c3886;Turin;64  / 128;3.2 to 4.4 GHz;Socket SP5;4 nm;256 MB;360 W;Oct 10th, 2024;AMD
EPYC 9555P;/cpu-specs/epyc-9555p.c3887;Turin;64  / 128;3.2 to 4.4 GHz;Socket SP5;4 nm;256 MB;360 W;Oct 10th, 2024;AMD
EPYC 9565;/cpu-specs/epyc-9565.c3884;Turin;72  / 144;3.15 to 4.3 GHz;Socket SP5;4 nm;384 MB;400 W;Oct 10th, 2024;AMD
EPYC 9575F;/cpu-specs/epyc-9575f.c3885;Turin;64  / 128;3.3 to 5 GHz;Socket SP5;4 nm;256 MB;400 W;Oct 10th, 2024;AMD
EPYC 9645;/cpu-specs/epyc-9645.c3908;Turin;96  / 192;2.3 to 3.7 GHz;Socket SP5;3 nm;256 MB;320 W;Oct 10th, 2024;AMD
EPYC 9655;/cpu-specs/epyc-9655.c3882;Turin;96  / 192;2.6 to 4.5 GHz;Socket SP5;4 nm;384 MB;400 W;Oct 10th, 2024;AMD
EPYC 9655P;/cpu-specs/epyc-9655p.c3883;Turin;96  / 192;2.6 to 4.5 GHz;Socket SP5;4 nm;384 MB;400 W;Oct 10th, 2024;AMD
EPYC 9745;/cpu-specs/epyc-9745.c3907;Turin;128  / 256;2.4 to 3.7 GHz;Socket SP5;3 nm;256 MB;400 W;Oct 10th, 2024;AMD
